Ordem,Subordem,Família,Nome Científico,Nome Popular,latitude,longitude,localizacao_fossil,imagem,dieta,altura_m,comprimento_m,peso_estimado_kg,ano_descoberta,descricao
Saurischia,Theropoda,Herrerasauridae,Herrerasaurus ischigualastensis,Herrerasauro,-31.101110,-68.904999,"San Juan, Argentina",https://upload.wikimedia.org/wikipedia/commons/6/63/Herrerasaurus_BW.jpg,Carnívoro,1.5,3.0,210,1963,"Um dos predadores mais antigos conhecidos. Possuía garras afiadas, patas traseiras fortes para correr e uma mandíbula com junta flexível para prender presas."
Saurischia,Theropoda,Herrerasauridae,Staurikosaurus pricei,Estauricossauro,-29.6833,-53.8000,"Rio Grande do Sul, Brasil",https://www.atlasvirtual.com.br/jpg/estauricossauro.jpg,Carnívoro,0.8,2.2,30,1936,Um dos primeiros dinossauros conhecidos do mundo. Fóssil brasileiro de um terópode ágil que caçava rincossauros e cinodontes.
Saurischia,Theropoda,Herrerasauridae,Gnathovorax cabreirai,Gnatovorax,-29.5833,-53.3667,"Rio Grande do Sul, Brasil",https://chc.org.br/wp-content/uploads/2024/01/que_bicho_1.jpg,Carnívoro,1.0,3.0,40,2019,Seu nome significa 'mandíbulas vorazes'. Herrerasaurídeo incrivelmente bem preservado do Brasil que ajudou a entender a anatomia cerebral dos primeiros predadores.
Saurischia,Theropoda,Herrerasauridae,Sanjuansaurus gordilloi,Sanjuansauro,-30.166700,-67.833300,"San Juan, Argentina",https://static.wikia.nocookie.net/dinosaur-battle-world-championshipversion-2/images/5/56/Screenshot_2023-10-27_8.17.57_PM.png/revision/latest/scale-to-width-down/876?cb=20231028123223,Carnívoro,1.5,3.0,180,2010,"Um predador primitivo contemporâneo do Herrerasaurus. Compartilhava o topo da cadeia alimentar dos primeiros dinossauros da América do Sul."
Saurischia,Theropoda,Coelophysidae,Coelophysis bauri,Celófise,36.331699,-106.473099,"Novo México, EUA",//cdn.paleo.gg/games/pk/images/animal/coelophysis_bauri.png,Carnívoro,1.0,3.0,15,1889,Terópode incrivelmente ágil e leve. Fósseis indicam que viviam e caçavam em grandes bandos.
Saurischia,Theropoda,Coelophysidae,Procompsognathus triassicus,Procampsognato,49.064400,8.976400,"Baden-Württemberg, Alemanha", https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh8WESLDdgQ0bKo8wf3q9L0RvA72_9BnRcnfwWXeRpVuGwYMTlqfPeM9DD8Kbb9M-T_l3xuKxXaE5IN8g-khznUBYY2kpIezD56NUZnWoJyuX0pBNX-kCXKlqMviLr2tArtuGITXuASPgGE/w1200-h630-p-k-no-nu/Compsognathus+-+Sergey+Krasovskiy.jpg,Carnívoro,0.4,1.2,5,1913,Pequeno e ágil predador. Era um carnívoro leve que se alimentava de insetos e pequenos lagartos.
Saurischia,Theropoda,Coelophysidae,Liliensternus liliensterni,Liliensterno,50.383301,10.550000,"Turíngia, Alemanha",https://atlasvirtual.com.br/jpg/liliensternus.jpg,Carnívoro,1.5,5.1,130,1934,"Um dos maiores predadores do Triássico europeu. Extremamente ágil, possivelmente caçava sauropodomorfos da sua época."
Saurischia,Theropoda,Coelophysidae,Camposaurus arizonensis,Campossauro,34.437420,-109.462486,"Arizona, EUA",https://upload.wikimedia.org/wikipedia/commons/3/30/Camposaurus_arizonensis.png,Carnívoro,0.8,3.0,15,1998,Um dos mais antigos dinossauros neoterópodes documentados na América do Norte. Estreitamente relacionado ao Coelophysis.
Saurischia,Theropoda,Coelophysidae,Panguraptor lufengensis,Panguraptor,25.168743,102.084496,"Yunnan, China",https://www.yunnanexploration.com/wp-content/uploads/2019/07/Panguraptor-in-Yunnan3-800x450.jpg,Carnívoro,0.6,2.0,15,2014,Importante fóssil que ofereceu evidências cruciais de que os primeiros terópodes migraram extensivamente pelo supercontinente Pangeia.
Saurischia,Sauropodomorpha,Guaibasauridae,Guaibasaurus candelariensis,Guaibasauro,-29.562500,-53.446667,"Rio Grande do Sul, Brasil",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXBRubUExxF-IBvLtEzj6Im0ROfug-jPtrbmflsw3fI74Pup2n6w4qDm_N&s=10,Carnívoro,0.6,2.0,10,1999,Possui características anatômicas tão basais que cientistas debatem se é um terópode inicial ou um sauropodomorfo.
